Marca,Modelo,Condicao,Memoria,Bateria,Preco,TempoConta,Vendas,Golpe
Samsung,Galaxy A71,Com defeito,32,Boa (80% ate 94%),321.48,355,16,Nao
Samsung,Galaxy S21,Recondicionado,32,Perfeita (95% ate 100%),311.4,227,7,Nao
Motorola,Motorola Edge 30,Usado - Bom,64,Boa (80% ate 94%),510.5,40,1,Nao
Motorola,Motorola G7,Recondicionado,64,Ruim (40% ate 59%),612.76,278,9,Nao
Motorola,Motorola G7,Usado - Excelente,64,Perfeita (95% ate 100%),532.5,138,1,Nao
Samsung,Galaxy S22,Usado - Excelente,64,Muito Ruim (abaixo de 39%),613.75,97,18,Nao
Apple,iPhone XR,Com defeito,256,Ruim (40% ate 59%),643.86,346,10,Nao
Motorola,Motorola G7,Com defeito,128,Perfeita (95% ate 100%),365.08,174,9,Nao
Apple,iPhone 11,Usado - Bom,256,Ok (60% ate 79%),1472.76,167,1,Nao
Apple,iPhone 15,Usado - Excelente,128,Ok (60% ate 79%),648.09,327,19,Nao
Samsung,Galaxy S21,Usado - Excelente,128,Boa (80% ate 94%),1358.37,79,1,Nao
Motorola,Motorola G7,Com defeito,32,Boa (80% ate 94%),1347.62,281,16,Nao
Samsung,Galaxy A71,Usado - Bom,64,Ruim (40% ate 59%),965.06,204,20,Nao
Apple,iPhone 15,Recondicionado,256,Ruim (40% ate 59%),641.45,95,16,Nao
Samsung,Galaxy S20,Com defeito,64,Muito Ruim (abaixo de 39%),1467.95,227,1,Nao
Samsung,Galaxy A71,Novo,256,Muito Ruim (abaixo de 39%),1256.22,97,1,Nao
Apple,iPhone 11,Usado - Bom,256,Ruim (40% ate 59%),558.1,251,20,Nao
Motorola,Motorola G7,Com defeito,64,Muito Ruim (abaixo de 39%),830.92,365,7,Nao
Motorola,Motorola G7,Usado - Excelente,128,Perfeita (95% ate 100%),1455.01,193,4,Nao
Apple,iPhone 14,Usado - Excelente,256,Muito Ruim (abaixo de 39%),1333.14,13,8,Nao
Samsung,Galaxy S20,Recondicionado,256,Boa (80% ate 94%),1270.67,114,13,Nao
Samsung,Galaxy S20,Com defeito,32,Muito Ruim (abaixo de 39%),332.2,312,8,Nao
Samsung,Galaxy A71,Novo,128,Boa (80% ate 94%),1033.3,68,19,Nao
Motorola,Motorola Edge 30,Recondicionado,128,Boa (80% ate 94%),532.5,290,1,Nao
Samsung,Galaxy S22,Com defeito,32,Perfeita (95% ate 100%),1405.43,59,9,Nao
Samsung,Galaxy S22,Com defeito,64,Muito Ruim (abaixo de 39%),569.89,226,19,Nao
Samsung,Galaxy S20,Usado - Excelente,256,Muito Ruim (abaixo de 39%),1047.41,291,15,Nao
Apple,iPhone 15,Novo,128,Ruim (40% ate 59%),679.97,363,1,Nao
Samsung,Galaxy S20,Com defeito,128,Ok (60% ate 79%),956.74,184,19,Nao
Apple,iPhone XR,Recondicionado,256,Muito Ruim (abaixo de 39%),1248.88,217,9,Nao
Samsung,Galaxy S20,Usado - Bom,64,Boa (80% ate 94%),1312.76,225,13,Nao
Samsung,Galaxy S20,Com defeito,32,Boa (80% ate 94%),616.15,355,19,Nao
Samsung,Galaxy S22,Usado - Excelente,256,Muito Ruim (abaixo de 39%),418.49,42,6,Nao
Samsung,Galaxy A71,Com defeito,32,Ok (60% ate 79%),794.23,217,12,Nao
Samsung,Galaxy S22,Com defeito,64,Perfeita (95% ate 100%),794.23,97,14,Nao
Samsung,Galaxy A71,Usado - Excelente,256,Muito Ruim (abaixo de 39%),1378.63,263,3,Nao
Apple,iPhone 15,Usado - Excelente,64,Perfeita (95% ate 100%),608.53,132,11,Sim
Samsung,Galaxy S21,Com defeito,32,Boa (80% ate 94%),469.61,320,4,Nao
Motorola,Motorola Edge 30,Usado - Bom,256,Muito Ruim (abaixo de 39%),401.7,5,8,Sim
Samsung,Galaxy A71,Usado - Bom,128,Ok (60% ate 79%),745.93,234,20,Nao
Samsung,Galaxy S20,Recondicionado,256,Muito Ruim (abaixo de 39%),720.78,301,1,Nao
Samsung,Galaxy S22,Com defeito,32,Ruim (40% ate 59%),1066.99,59,10,Nao
Samsung,Galaxy S21,Recondicionado,128,Ok (60% ate 79%),1209.64,124,3,Nao
Samsung,Galaxy S21,Com defeito,64,Muito Ruim (abaixo de 39%),1358.37,263,7,Nao
Motorola,Motorola G7,Recondicionado,32,Ok (60% ate 79%),341.21,247,6,Nao
Motorola,Motorola G7,Usado - Excelente,256,Ok (60% ate 79%),1031.57,154,19,Nao
Motorola,Motorola G7,Recondicionado,32,Perfeita (95% ate 100%),962.39,211,6,Nao
Apple,iPhone 11,Usado - Bom,128,Boa (80% ate 94%),1402.35,186,3,Nao
Samsung,Galaxy A51,Usado - Bom,128,Ok (60% ate 79%),1060.46,359,8,Nao
